,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
4,shot,3f13a49c-1491-498c-9a0a-df306ead552f,514,1,00:14:27.060,14,27,37,Belgium,Regular Play,,Belgium,Yannick Ferreira Carrasco,Left Midfield,1.135,True,0.018060315,58e76095-a43a-4a12-92d9-a05fdd818c0e,Right Foot,Open Play,Saved,Normal,,,,,,,101.0,21.0,119.0,37.4,0.9
5,shot,458c2002-bf72-4381-addb-9c22eef1344c,553,1,00:15:19.140,15,19,49,Belgium,From Counter,,Belgium,Romelu Lukaku Menama,Center Forward,0.933,,0.23132385,40348990-64e0-4b8f-a2cd-0bca21cbcd3f,Left Foot,Open Play,Goal,Normal,,,,,,,104.0,33.0,120.0,44.0,0.0
6,shot,138d05c2-63e0-4ff6-8c5a-bf50ab514d82,567,1,00:17:07.460,17,7,52,Tunisia,From Free Kick,,Tunisia,Dylan Bronn,Right Back,0.88,,0.1351952,2adf017d-0032-4caf-bce2-170ecb8876a6,Head,Open Play,Goal,Normal,,,,,,,112.0,41.0,120.0,43.4,1.3
7,shot,f316a18d-a533-4e2e-90f1-639ad9ebf6ef,619,1,00:18:47.940,18,47,55,Belgium,Regular Play,,Belgium,Yannick Ferreira Carrasco,Left Midfield,0.733,,0.09233936,df64df0c-dd6a-45d8-a096-b7301e3caad9,Right Foot,Open Play,Saved,Volley,True,,,,,,107.0,33.0,119.0,43.2,0.6
8,shot,0c97f69f-9430-4e80-885a-4f1c536a4304,715,1,00:20:47.300,20,47,61,Belgium,From Free Kick,,Belgium,Toby Alderweireld,Right Back,1.21,,0.02820845,,Right Foot,Open Play,Off T,Normal,,,,,,,102.0,56.0,120.0,34.6,0.2
9,shot,122977f5-37ae-4972-8734-1fb093186212,928,1,00:27:42.900,27,42,72,Belgium,Regular Play,,Belgium,Axel Witsel,Left Center Midfield,0.12,,0.091529965,de1f45bc-2aee-4580-a16f-8ce8e88dad12,Left Foot,Open Play,Blocked,Normal,True,,,,,,100.0,34.0,104.0,36.0,
10,shot,01ae6225-1905-4cce-a042-cd7fc19958ee,988,1,00:29:11.860,29,11,75,Tunisia,Regular Play,,Tunisia,Wahbi Khazri,Center Forward,1.293,True,0.06366108,8d3941d5-c0cf-45fd-b073-31e5a1284a23,Right Foot,Open Play,Off T,Normal,,,,,,,106.0,69.0,120.0,40.5,4.4
11,shot,944cccd6-9dc6-4c13-acab-59fbc048cf8e,1023,1,00:30:19.900,30,19,77,Tunisia,From Throw In,,Tunisia,Ferjani Sassi,Right Center Midfield,1.2,,0.09220893,,Left Foot,Open Play,Off T,Normal,,,,,,,101.0,45.0,120.0,34.4,0.2
12,shot,b81025b0-54d0-43bf-b928-fa05f27deb17,1085,1,00:32:01.460,32,1,83,Tunisia,Regular Play,,Tunisia,Wahbi Khazri,Center Forward,1.12,,0.017847752,86cf681b-77e3-4c37-a0e6-3943e5af509b,Right Foot,Open Play,Saved,Normal,,,,,,,88.0,26.0,118.0,41.9,2.4
13,shot,72d57ddf-2d6b-488f-ac5a-5504d9881eab,1349,1,00:38:24.140,38,24,99,Tunisia,Regular Play,,Tunisia,Fakhreddine Ben Youssef,Left Wing,1.133,,0.034719113,9dd47bbd-db46-4b6c-8e90-4c68633a9702,Right Foot,Open Play,Off T,Normal,,,,,,,96.0,37.0,120.0,45.6,2.3
14,shot,5480ce6d-c5e9-42eb-b979-eaededc5986e,1405,1,00:41:51.300,41,51,104,Tunisia,From Throw In,,Tunisia,Saîf-Eddine Khaoui,Left Center Midfield,0.16,,0.027620574,89aa2e22-0e35-40d3-a4be-9c5eb424a93d,Left Foot,Open Play,Blocked,Normal,,,,,,,117.0,27.0,117.0,29.0,
15,shot,9751fb21-2355-42ac-aa11-df6a2a28f064,1692,1,00:47:57.260,47,57,118,Belgium,Regular Play,,Belgium,Romelu Lukaku Menama,Center Forward,1.173,,0.5764766,bd825234-e20b-4acd-83aa-a50b714525d2,Right Foot,Open Play,Goal,Normal,True,,,,,,112.0,45.0,120.0,40.3,0.2
16,shot,70ce9a7c-16bc-4ce7-81af-6aa30551a2a6,1767,2,00:01:53.867,46,53,122,Belgium,From Corner,,Belgium,Toby Alderweireld,Right Back,0.573,,0.06055075,b0bbfbc6-9c21-4a19-ad32-91d97104a416,Right Foot,Open Play,Off T,Normal,True,,,,,,115.0,48.0,120.0,44.8,4.0
17,shot,68593bf3-1512-41fd-a0f5-81b1a73129bd,1877,2,00:04:00.987,49,0,128,Tunisia,Regular Play,,Tunisia,Wahbi Khazri,Center Forward,3.253,,0.2933327,2f4e4515-0b46-42fe-b807-4409b81c8367,Right Foot,Open Play,Wayward,Volley,,,,True,,,113.0,44.0,109.0,80.0,
