duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.32,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,other,0,0,0,Normal,0,0,24.20743687382041,0.668289418830584,8.479999999999999,0,76.0,0,6.4031242374328485,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,18.867962264113206,0.5585993153435624,22.746,0,64.0,0,7.810249675906654,True,True,False
0.4,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,1,0,0,Half Volley,0,0,27.730849247724095,0.44751997515716985,10.36,0,100.0,0,4.0,True,True,False
1.253,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,1,0,33.52610922848042,0.3028848683749714,1.627,0,128.0,1,15.0,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,other,1,0,0,Half Volley,0,0,27.85677655436824,0.3671738338182192,5.867,0,104.0,1,5.656854249492381,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,other,0,0,0,Normal,0,0,8.06225774829855,1.0516502125483738,2.7470000000000003,0,16.0,0,5.385164807134504,True,True,False
1.547,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Backheel,0,0,7.280109889280518,1.2924966677897853,40.412000000000006,0,8.0,0,13.416407864998739,True,True,False
1.24,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,other,0,0,0,Normal,0,0,39.824615503479755,0.6786624907483126,1.7189999999999996,1,124.0,1,2.8284271247461903,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,29.832867780352597,0.23684876094692026,17.666999999999998,0,116.0,1,3.0,True,True,False
0.28,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,other,0,0,0,Normal,0,0,29.732137494637012,0.3430239404207034,17.252999999999997,0,112.0,1,12.165525060596439,True,True,False
